
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
BR07_suprise_br_elite_05: 4C (2.5, 1.9) (-56342, -9000) suprise_br_elite 
BR07_suprise_br_elite_06: 3E (1.9, 1.8) (14574, -56261) suprise_br_elite 
BR07_suprise_br_elite_07: 3H (1.8, 1.6) (119127, -57063) suprise_br_elite 
BR07_suprise_br_elite_09: 4C (1.0, 2.9) (-38602, -35927) suprise_bw_elite2 
BR07_suprise_bw_elite2_01: 5C (1.2, 1.4) (-65323, 4283) suprise_bw_elite2 
BR07_suprise_bw_elite2_02: 2D (2.2, 2.6) (-6759, -86361) suprise_bw_elite2 
BR07_suprise_bw_elite2_03: 3C (2.3, 2.5) (-45815, -49470) suprise_bw_elite2 

[br08 BR Orkney 2.000000]
<跳跃>
GA Languedoc: 3E (1.6, 1.1) (1098, -33744) jumphole_red 
BR Edinburgh: 6E (1.7, 1.2) (2500, 27000) jumphole_light 
BW Roussillon: 6G (2.0, 1.9) (49493, 30116) jumphole_light 
BW Tau-23: 5F (1.6, 3.0) (39669, 6092) jumphole_light 
<基地>
BR08_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
BR08_planet_1: 5F (1.9, 1.6) (26000, 9000) planet_crater_800 
BR08_planet_2: 5F (1.5, 1.0) (20000, 5000) planet_gasgrncld_3000 
BR08_planet_3: 5C (2.4, 2.0) (-30432, 14235) planet_moonblu_1000 
BR08_planet_4: 5D (2.9, 1.3) (-17167, 18990) planet_mercury_200 
BR08_planet_5: 5G (1.8, 2.2) (52413, 7532) planet_desorgrck_2000 
BR08_planet_6: 3D (2.7, 2.9) (-1000, -23000) planet_ice_blue_2000 
BR08_01: 3E (2.6, 1.7) (6857, -24071) space_shipping01 
BR08_space_solar_pnl_01: 3E (2.7, 1.7) (6857, -23470) space_solar_pnl 
BR08_space_solar_pnl_02: 3E (2.7, 1.7) (6857, -23470) space_solar_pnl 
BR08_space_tankl4x4_01: 6F (2.0, 1.6) (25509, 30383) space_tankl4x4 
BR08_03: 4F (1.7, 2.9) (39000, -12921) miningbase_small_rock 
BR08_04: 4F (2.7, 1.1) (21000, -3000) ga_battleship 
BR08_05: 6E (1.3, 1.1) (1341, 23069) outpost 
BR08_mine_buoy_1: 3E (1.8, 1.2) (2249, -31807) mine_buoy 
BR08_mine_buoy_2: 3E (2.0, 1.3) (3401, -29873) mine_buoy 
BR08_mine_buoy_3: 3E (2.2, 1.5) (4553, -27939) mine_buoy 
BR08_mine_buoy_4: 3E (2.4, 1.6) (5705, -26005) mine_buoy 
BR08_mine_buoy_5: 3E (2.8, 2.0) (9591, -21557) mine_buoy 
BR08_mine_buoy_6: 4E (1.1, 2.2) (12325, -19043) mine_buoy 
BR08_mine_buoy_7: 4E (1.3, 2.5) (15059, -16529) mine_buoy 
BR08_mine_buoy_8: 4E (1.6, 2.8) (17793, -14015) mine_buoy 
BR08_mine_buoy_9: 4F (1.8, 1.1) (20527, -11501) mine_buoy 
BR08_mine_buoy_10: 4F (2.1, 1.3) (23261, -8987) mine_buoy 
BR08_mine_buoy_11: 4F (2.4, 1.6) (25995, -6473) mine_buoy 
BR08_mine_buoy_12: 4F (2.6, 1.9) (28729, -3959) mine_buoy 
BR08_mine_buoy_13: 4F (2.9, 2.1) (31463, -1445) mine_buoy 
BR08_mine_buoy_14: 5F (1.1, 2.4) (34197, 1069) mine_buoy 
BR08_mine_buoy_15: 5F (1.4, 2.7) (36931, 3583) mine_buoy 
BR08_mine_buoy_17: 3E (2.9, 1.8) (7874, -20634) mine_buoy 
BR08_mine_buoy_18: 4E (1.3, 1.9) (8895, -17195) mine_buoy 
BR08_mine_buoy_19: 4E (1.6, 2.0) (9916, -13756) mine_buoy 
BR08_mine_buoy_20: 4E (2.0, 2.1) (10937, -10317) mine_buoy 
BR08_mine_buoy_21: 4E (2.3, 2.2) (11958, -6878) mine_buoy 
BR08_mine_buoy_22: 4E (2.7, 2.3) (12979, -3439) mine_buoy 
BR08_mine_buoy_mid: 5E (1.0, 2.4) (14000, 0) mine_buoy 
BR08_mine_buoy_23: 5E (1.3, 2.2) (12192, 3295) mine_buoy 
BR08_mine_buoy_24: 5E (1.7, 2.0) (10384, 6590) mine_buoy 
BR08_mine_buoy_25: 5E (2.0, 1.9) (8576, 9885) mine_buoy 
BR08_mine_buoy_26: 5E (2.3, 1.7) (6768, 13180) mine_buoy 
BR08_mine_buoy_27: 5E (2.6, 1.5) (4960, 16475) mine_buoy 
BR08_mine_buoy_28: 5E (3.0, 1.3) (3152, 19770) mine_buoy 
BR08_suprise_dsy_nl_councilhf_01: 2G (3.0, 1.2) (41780, -40208) suprise_dsy_nl_councilhf 
BR08_suprise_dsy_nl_councilhf_02: 3D (2.2, 2.7) (-3018, -27988) suprise_dsy_nl_councilhf 
BR08_suprise_dsy_nl_councilhf_03: 3E (1.7, 1.4) (4051, -32883) suprise_dsy_nl_councilhf 
BR08_suprise_dsy_nl_councillf_01: 4F (1.1, 1.8) (28154, -19286) suprise_dsy_nl_councillf 
Br08_Roid_Miner_1: 4C (1.0, 1.2) (-38000, -20000) Roid_Miner 
Br08_ast_solar_1: 3C (3.0, 1.2) (-38000, -20160) ast_solar_mineable_60 
GA06_10: 4C (2.7, 3.0) (-20170, -2841) space_factory02 
GA05_08: 5C (2.4, 1.4) (-36175, 14052) cou_battleship 

[br09 BR Dundee 4.000000]
<跳跃>
BR Newcastle: 4F (2.5, 1.2) (44900, -10200) jumphole 
<基地>
BR09_Sun1: 5E (1.0, 1.0) (0, 0) sun_1000 
BR09_Sun2: 4G (1.5, 1.0) (80000, -30000) sun_1000 
BR09_planet_1: 5D (2.4, 1.6) (-29000, 27000) planet_crater_1000 
BR09_planet_2: 4E (1.4, 1.6) (13000, -32000) planet_gasblucld_3000 
BR09_suprise_br_gunboat_01: 5E (2.6, 1.8) (15880, 32618) suprise_br_gunboat 
BR09_suprise_pi_freighter_01: 4D (2.5, 1.5) (-30243, -9211) suprise_pi_freighter 
BR09_suprise_br_fighter_01: 5D (2.6, 2.8) (-3551, 32575) suprise_br_fighter 
BR09_suprise_br_fighter_02: 4E (2.3, 2.7) (34579, -13003) suprise_br_fighter 
BR09_suprise_br_elite_01: 4D (2.0, 1.6) (-27138, -19388) suprise_br_elite 
BR09_suprise_br_elite_02: 4D (1.8, 2.7) (-6742, -23822) suprise_br_elite 
BR09_suprise_br_elite_03: 4D (2.8, 2.0) (-19867, -4136) suprise_br_elite 
BR09_suprise_br_elite_04: 5E (1.9, 2.9) (38836, 18032) suprise_br_elite 
BR09_suprise_ku_elite_02: 4E (2.7, 1.9) (18096, -5529) suprise_ku_elite 
BR09_suprise_ku_elite_03: 4E (2.1, 1.8) (15793, -18123) suprise_ku_elite 
BR09_suprise_ku_elite_04: 4D (2.2, 2.2) (-16839, -16350) suprise_ku_elite 

[br10 BR Lewis 2.000000]
<跳跃>
BR Edinburgh: 6D (1.5, 2.5) (-5452, 25196) jumphole_light 
<基地>
BR10_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
BR10_planet_1: 5D (2.5, 1.6) (-14000, 14500) planet_icemntcld_2500 
BR10_planet_2: 4B (1.5, 2.9) (-41000, -14603) planet_icemntcld_2500 

[br11 BR New Anglia 3.600000]
<跳跃>
0
<基地>
0

[br13 BR Inverness 2.000000]
<跳跃>
BW Tau-117: 3C (1.1, 1.8) (-32000, -39200) jumphole_light 
IW Cortez: 3F (1.0, 2.8) (38000, -40000) jumphole_light 
IW Vespucci (Hellfire Legion): 5F (1.6, 2.8) (37500, 6000) jumphole_light 
<基地>
BR13_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
BR13_Sun2: -1A (1.0, 1.5) (-75000, -120000) sun_2000 
BR13_planet_1: 3E (1.1, 1.4) (3500, -39000) planet_gaspurcld_5000 
BR13_planet_2: 3D (2.7, 1.0) (-19933, -22813) planet_watgrncld_3000 
BR13_planet_3: 7E (1.4, 1.4) (4000, 44000) planet_ice_blue_2500 
BR13_planet_4: 3C (1.5, 1.5) (-35000, -35000) planet_crater_800 
BR13_01: 3E (1.8, 1.5) (4953, -31622) space_freeport01 
BR13_space_industrial02_01: 3E (1.8, 1.5) (4953, -31622) space_industrial02 
BR13_space_industrial02_02: 3E (1.8, 1.5) (4953, -31622) space_industrial02 
BR13_space_dome_01: 3E (1.9, 1.5) (5203, -31372) space_dome 
BR13_shipyard_01: 3E (1.8, 1.5) (5250, -31622) shipyard 
BR13_pilgrim_04: 3E (1.8, 1.5) (5250, -31622) pilgrim 
BR13_large_transport_01: 3E (1.8, 1.5) (5250, -31522) large_transport 
Li05_04: 6F (1.0, 1.5) (25000, 20000) o_osiris 
BR13_suprise_ge_fighter_01: 3C (2.7, 2.7) (-23297, -22675) suprise_br_freighter 
BR13_suprise_bw_elite2_01: 6G (2.3, 1.1) (41067, 32607) suprise_bw_elite2 
BR13_pilgrim_01: 3E (1.9, 1.7) (6509, -30875) pilgrim 
BR14_01: 6C (2.9, 2.3) (-27050, 38950) dsy_nomad_lair 
BR14_ithaca_station_01: 5C (2.4, 1.8) (-32050, 13950) ithaca_station 
BR14_debris_med02_01: 5C (2.3, 1.8) (-32270, 13370) debris_med02 

[br14 BR Chester 2.000000]
<跳跃>
0
<基地>
BR14_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 

[br15 BR New Cambria 3.600000]
<跳跃>
0
<基地>
0

[br16 BR Poole (BR Police) 2.500000]
<跳跃>
BR Cambridge: 3E (1.9, 1.1) (1000, -39000) jumpgate 
EW Omega-49: 6E (1.2, 1.9) (11000, 27000) jumphole_red 
BR Cambridge: 4D (2.0, 3.0) (-502, -13116) jumphole_red 
BR Dublin: 6C (1.1, 1.8) (-39918, 26246) jumphole_red 
<基地>
BR16_Sun1: 5E (1.0, 1.0) (0, 0) sun_1000 
BR16_Sun2: 5E (1.0, 1.0) (0, 0) dsy_planet_browndwarf_800 
BR16_planet_1: 5F (1.7, 1.6) (32500, 8250) planet_desormed_1000 
BR16_planet_2: 3F (2.5, 2.0) (36998, -31000) planet_ice_blue_800 
BR16_planet_3: 4E (1.8, 1.6) (7000, -15000) planet_mercury_800 
BR22_planet_1: 6D (1.5, 1.3) (-21200, 30800) planet_desorgrck_2000 
BR16_01: 3F (2.6, 1.9) (35722, -30103) outpost 
BR16_large_transport_01: 3F (2.6, 1.8) (35371, -30276) large_transport 
BR16_large_transport_02: 3F (2.6, 1.8) (35219, -30278) large_transport 
BR16_large_transport_03: 3F (2.6, 1.8) (35288, -30278) large_transport 
BR16_ge_fighter_01: 3F (2.6, 1.8) (35365, -30010) suprise_ge_fighter_impound 
BR16_ge_fighter_02: 3F (2.6, 1.8) (35289, -30001) suprise_ge_fighter_impound 
BR16_ge_fighter_03: 3F (2.6, 1.8) (35209, -30005) suprise_ge_fighter_impound 
BR16_ge_fighter4_01: 3F (2.6, 1.8) (35327, -30006) suprise_ge_fighter4_impound 
BR16_br_freighter: 3F (2.6, 1.8) (35248, -30001) suprise_br_freighter_impound 
BR16_space_industrial02_01: 3F (2.6, 1.8) (35286, -30097) space_industrial02 
BR16_02: 5F (1.6, 1.3) (29021, 8045) gas_miner_old_alt_2 
BR16_02b: 5F (1.7, 1.3) (29021, 8455) gas_miner_old 
BR16_02c: 5F (1.7, 1.3) (29021, 8265) dsy_plant 
GA05_03_dsy_research_habitat: 5F (1.8, 1.4) (30521, 9955) dsy_research_habitat 
EW07_02: 5E (2.0, 1.6) (7000, 12000) dsy_venator_stationary 
BR16_03: 3F (2.7, 1.7) (33598, -28700) space_mining01 
BR16_03_dsy_habitat_pods_1: 3F (2.7, 1.7) (33598, -28700) dsy_habitat_pods 
BR16_Roid_Miner_01: 5D (1.8, 1.2) (-22500, 10000) Roid_Miner 
BR16_ast_solar_mineable2_60_1: 5D (1.8, 1.2) (-22600, 9880) ast_solar_ice_60 
BR16_Roid_Miner_02: 5C (1.9, 2.9) (-26000, 11500) Roid_Miner 
BR16_ast_solar_mineable2_60_2: 5C (1.9, 2.9) (-25995, 11645) ast_solar_ice_60 
BR16_Roid_Miner_03: 5D (1.7, 1.6) (-18000, 9000) Roid_Miner 
BR16_ast_solar_mineable2_60_3: 5D (1.7, 1.6) (-17885, 8885) ast_solar_ice_60 
BR22_01: 6D (1.6, 1.0) (-24500, 32000) space_factory01 
BR22_01_space_habitat_wide_01: 6D (1.6, 1.0) (-24993, 32000) space_habitat_wide 
BR22_01_space_habitat_wide_02: 6D (1.5, 1.0) (-24993, 31749) space_habitat_wide 
BR22_01_space_tankl2_01: 6D (1.5, 1.0) (-24865, 31749) space_tankl2 
BR22_01_space_tankl2_02: 6D (1.6, 1.0) (-24865, 32251) space_tankl2 
BR22_01_space_dome_01: 6C (1.5, 3.0) (-25275, 31749) space_dome 
BR22_01_space_dome_02: 6D (1.5, 1.0) (-24993, 31408) space_dome 
BR22_01_space_dome_03: 6C (1.6, 3.0) (-25275, 32251) space_dome 
BR22_01_space_dome_04: 6D (1.6, 1.0) (-24993, 32592) space_dome 
BR22_02: 4C (1.0, 2.7) (-28500, -24500) co_base_ice_large02 
BR22_03: 4C (1.1, 2.8) (-27250, -24100) space_factory01 
BR22_connector_01: 3C (3.0, 2.8) (-27250, -25130) space_industrial01 
BR22_shipyard_01: 3C (3.0, 2.8) (-27430, -25130) shipyard 
BR22_shipyard_02: 3C (3.0, 2.8) (-27430, -25130) shipyard 
BR22_ou_huegenot_nodock_01: 3C (3.0, 2.8) (-27430, -25130) ou_huegenot_nodock 
BR16_suprise_ge_fighter5_01: 6D (1.9, 2.7) (-4043, 36654) suprise_ge_fighter5 
BR16_suprise_co_fighter_01: 4C (1.9, 1.9) (-38128, -14260) suprise_co_fighter 
BR16_suprise_dsy_gaian_hf: 5D (1.0, 1.8) (-15500, 500) suprise_dsy_gaian_hf 
BR16_Trade_Lane_Ring_2_5: 4F (3.0, 1.5) (30629, -282) Trade_Lane_Ring_Construct_B 
BR16_dsy_static_ge_repair_1: 4F (3.0, 1.4) (30521, -312) dsy_static_ge_repair 
BR16_dsy_static_ge_repair_2: 4F (3.0, 1.5) (30766, -234) dsy_static_ge_repair 
BR16_Trade_Lane_Ring_2_6: 5F (1.5, 1.4) (29469, 6720) Trade_Lane_Ring_Construct_A 
BR16_nav_buoy_1: 4F (2.7, 1.5) (31183, -3777) nav_buoy 
BR16_nav_buoy_2: 5F (1.3, 1.4) (30075, 3213) nav_buoy 

[br17 BR Faroe (Gaians) 2.000000]
<跳跃>
BR Lewis: 4C (1.0, 1.8) (-32000, -20000) jumphole 
<基地>
BR17_Sun1: 6A (1.6, 2.0) (-90000, 26000) sun_2000 
BR17_Sun2: 5E (1.0, 1.0) (0, 0) sun_2000 
BR17_planet_1: 5F (1.2, 1.9) (28702, 2145) planet_ice_blue_3000 
BR17_planet_2: 5E (2.4, 1.5) (5096, 14216) planet_desert_2000 
BR17_planet_3: 7E (1.0, 2.6) (16000, 40000) planet_ice_purple_3000 
BR17_planet_4: 5F (2.7, 1.2) (21727, 16631) planet_moonblu_1000 

[br19 BR Salisbury (BR Navy) 2.000000]
<跳跃>
BR New London: 6C (2.0, 1.7) (-32865, 29603) jumphole_red 
<基地>
BR19_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
BR19_planet_1: 6C (1.7, 2.7) (-23028, 27022) planet_desorgrck_2000 

[br22 BR Londonderry (Mollys) 2.000000]
<跳跃>
BR Dublin: 4F (1.5, 1.6) (26000, -15000) jumphole_green 
<基地>
BR22_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 

[bw01 BW Omega-3 2.000000]
<跳跃>
BR Cambridge: 4B (2.9, 2.9) (-40927, -1070) jumpgate 
BW Omega-7: 5G (1.4, 1.2) (42213, 3623) jumpgate 
BR Cambridge: 5C (2.6, 1.2) (-37564, 15860) jumphole_light 
BW Omega-5: 7D (1.2, 2.6) (-3700, 42200) jumphole 
BW Omega-15: 6F (1.9, 2.4) (34000, 29000) jumphole 
<基地>
Bw01_Sun: 5E (1.0, 1.0) (0, 0) sun_1000 
Bw01_01: 5D (1.7, 1.4) (-16150, 6600) planet_desorcld_1500 
Bw01_dock_ring: 5D (1.6, 1.5) (-14600, 6000) dock_ring 
Bw01_docking_fixture_1: 5D (1.6, 1.5) (-14600, 6000) docking_fixture 
BW01_Comet: 5E (1.4, 1.4) (4000, 4000) ast_rock_largeA_bw01 
Bw01_02: 4D (1.5, 1.2) (-17702, -15291) space_freeport01 
Bw01_depot_oxygen_1: 4D (1.4, 1.3) (-16524, -15598) depot_oxygen 
Bw01_depot_oxygen_2: 4D (1.4, 1.3) (-16714, -15601) depot_oxygen 
Bw01_depot_water_1: 4D (1.5, 1.3) (-16527, -15470) depot_water 
Bw01_depot_food_1: 4D (1.5, 1.3) (-16719, -15473) depot_food 
Bw01_depot_fertilizers_1: 4D (1.4, 1.3) (-16524, -15724) depot_fertilizers 
Bw01_space_dome_1: 4D (1.5, 1.2) (-17702, -14961) space_dome 
Bw01_space_solar_pnl_1: 4D (1.5, 1.3) (-17442, -15291) space_solar_pnl 
Bw01_03: 6F (1.4, 1.3) (23017, 24157) space_mining01 
Bw01_space_industrial01_1: 6F (1.5, 1.2) (22476, 24784) space_industrial01 
Bw01_mplatform_2: 6F (1.5, 1.3) (23248, 24535) mplatform 
Bw01_space_tankl4x4_1: 6F (1.5, 1.3) (22822, 24533) space_tankl4x4 
Bw01_03_solarpanel: 6F (1.5, 1.2) (22476, 24784) space_solar_plant 
Bw01_04: 6D (2.0, 2.7) (-3232, 29923) space_mining01 
Bw01_mplatform_1: 6D (2.1, 2.7) (-3462, 30549) mplatform 
Bw01_06: 4E (1.4, 2.9) (18689, -16141) space_factory01 
Bw01_shipyard_01: 4E (1.3, 2.9) (18689, -16841) shipyard 
Bw01_shipyard_02: 4E (1.3, 2.8) (18439, -16841) shipyard 
Bw01_shipyard_03: 4E (1.3, 2.9) (18939, -16841) shipyard 
Bw01_mooring_01: 4E (1.3, 2.8) (18240, -16635) space_habitat_wide 
Bw01_06_industrial_01: 4E (1.3, 2.8) (18040, -16635) space_industrial 
Bw01_mplatform_01: 4E (1.3, 2.9) (19233, -16635) mplatform 
Bw01_space_solar_plant_01: 4E (1.3, 2.8) (18040, -16635) space_solar_plant 
BR09_02: 5D (1.4, 1.2) (-18206, 4385) b_battleship 
Bw01_baxter_hazard_1: 5C (1.5, 1.8) (-31850, 4652) baxter_hazard 
BW01_lane_constr_1: 4D (1.6, 1.3) (-17000, -13500) Trade_Lane_Ring_Construct_A 
BW01_nav_buoy_01: 4D (2.0, 1.4) (-16500, -10467) nav_buoy 
BW01_lane_constr_2: 4D (2.3, 1.4) (-16000, -7434) Trade_Lane_Ring_Construct_B 
BW01_nav_buoy_02: 4D (2.6, 1.4) (-15500, -4401) nav_buoy 
BW01_lane_constr_3: 4D (2.9, 1.5) (-15000, -1368) Trade_Lane_Ring_Construct_B 
BW01_nav_buoy_03: 5D (1.2, 1.6) (-14500, 1665) nav_buoy 
BW01_lane_constr_4: 5D (1.5, 1.6) (-14000, 4698) Trade_Lane_Ring_Construct_A 
BW01_nav_buoy_05: 5D (1.9, 1.8) (-12300, 9000) nav_buoy 
BW01_nav_buoy_06: 5D (2.5, 2.0) (-9700, 15000) nav_buoy 
BW01_nav_buoy_07: 6D (1.1, 2.3) (-7100, 21000) nav_buoy 
BW01_nav_buoy_08: 6D (1.7, 2.5) (-4500, 27000) nav_buoy 

[bw02 BW Omega-5 3.000000]
<跳跃>
EW Omega-41: 5F (2.4, 1.1) (31000, 21000) jumphole 
BW Omega-3: 4D (1.7, 2.2) (-12500, -19000) jumphole 
BW Omega-7: 4D (1.6, 2.5) (-7500, -21500) jumphole 
BW Omega-15: 4E (2.6, 2.9) (29000, -6000) jumphole 
EW Omega-47: 6D (1.0, 2.1) (-13000, 30000) jumphole 
<基地>
Bw02_01: 5D (1.8, 2.1) (-13000, 12000) co_base_ice_large02 
Bw02_02_Base: 4E (2.4, 2.2) (18000, -9000) miningbase_small_ice 
Bw02_suprise_co_elite_1: 4E (2.7, 1.1) (1335, -4994) suprise_co_elite 
Bw02_suprise_co_elite_2: 5E (1.0, 1.3) (3959, 564) suprise_co_elite 
Bw02_suprise_co_elite_3: 5E (1.1, 1.4) (6605, 1941) suprise_co_elite 
Bw02_suprise_co_elite_4: 4E (2.9, 1.5) (7340, -924) suprise_co_elite 
Bw02_suprise_co_elite_5: 5E (1.2, 1.6) (9565, 3222) suprise_co_elite 
Bw02_suprise_co_elite_9: 5E (1.2, 1.5) (7688, 3298) suprise_co_elite 
Bw02_suprise_co_elite_10: 5E (1.2, 1.3) (3959, 3428) suprise_co_elite 
Bw02_suprise_co_elite_12: 5E (1.4, 1.7) (10864, 5936) suprise_co_elite 
Bw02_suprise_bw_elite_1: 5D (1.3, 2.8) (-2853, 4881) suprise_bw_elite 
Bw02_suprise_bw_elite_2: 4D (2.9, 2.7) (-4224, -2205) suprise_bw_elite 
Bw02_suprise_bw_elite_3: 5E (1.1, 1.2) (2732, 2222) suprise_bw_elite 
Bw02_suprise_bw_elite_4: 5E (1.5, 1.2) (3356, 7067) suprise_bw_elite 
Bw02_suprise_bw_elite_5: 5E (1.4, 1.0) (468, 5408) suprise_bw_elite 
Bw02_suprise_bw_elite_6: 5E (1.7, 1.5) (8049, 10459) suprise_bw_elite 
Bw02_suprise_bw_elite_7: 5E (1.9, 1.4) (6099, 14077) suprise_bw_elite 
Bw02_suprise_bw_elite_8: 5E (1.5, 1.3) (4511, 7368) suprise_bw_elite 
Bw02_suprise_co_elite_13: 5E (1.5, 1.5) (7089, 7015) suprise_co_elite 
Bw02_suprise_co_elite_14: 5E (1.3, 1.4) (6075, 4564) suprise_co_elite 
Bw02_suprise_co_elite_15: 5E (1.1, 1.3) (4557, 1425) suprise_co_elite 
Bw02_suprise_co_elite_16: 5E (1.3, 1.1) (1857, 4070) suprise_co_elite 
Bw02_suprise_bw_elite_9: 5E (1.6, 1.2) (3388, 9616) suprise_bw_elite 
Bw02_suprise_bw_elite_10: 5E (1.3, 1.1) (1492, 4528) suprise_bw_elite 
Bw02_suprise_bw_elite_11: 5E (1.0, 1.0) (630, 525) suprise_bw_elite 
Bw02_suprise_bw_elite_12: 4E (2.9, 1.2) (2989, -2113) suprise_bw_elite 
Bw02_suprise_bw_elite_13: 5E (1.0, 1.3) (5044, 236) suprise_bw_elite 
Bw02_suprise_bw_elite_14: 5E (1.3, 1.5) (7149, 4779) suprise_bw_elite 
Bw02_suprise_bw_elite_15: 5E (1.4, 1.6) (8936, 5543) suprise_bw_elite 

[bw03 BW Omega-7 2.400000]
<跳跃>
BW Omega-3: 4C (2.8, 1.2) (-45000, -1808) jumpgate 
RH Stuttgart: 4F (3.0, 2.2) (38289, -566) jumpgate 
BW Omega-5: 5D (2.4, 1.3) (-20361, 16234) jumphole_orange 
BW Omega-54 (Red Hessians): 6F (1.1, 3.0) (47748, 24680) jumphole_orange 
<基地>
Bw03_01: 5D (1.1, 2.6) (-5226, 1560) outpost 
Bw03_space_tankl4x4_1: 5D (1.1, 2.6) (-4666, 754) space_tankl4x4 
Bw03_space_tankl4x4_2: 5D (1.1, 2.6) (-4933, 754) space_tankl4x4 
Bw03_space_tankl4x4_3: 5D (1.1, 2.6) (-5199, 754) space_tankl4x4 
Bw03_space_industrial_1: 5D (1.0, 2.6) (-4808, 266) space_industrial 
Bw03_space_industrial_2: 5D (1.0, 2.6) (-5084, 269) space_industrial 
Bw03_02: 5E (1.5, 2.9) (23171, 6562) space_mining01 
Bw03_space_industrial01_2: 5E (1.6, 2.9) (23171, 7191) space_industrial01 
Bw03_mplatform_1: 5E (1.6, 3.0) (23403, 7190) mplatform 
Bw03_mplatform_2: 5E (1.6, 2.9) (22953, 7190) mplatform 
Bw03_Roid_Miner_4: 5E (1.6, 3.0) (23403, 7355) Roid_Miner 
Bw03_03: 4E (1.8, 1.9) (11248, -14323) space_mining01 
Bw03_space_industrial02_1: 4E (1.7, 1.9) (10904, -15169) space_industrial02 
EW07_04: 6C (1.0, 1.6) (-40400, 24400) miningbase_FragB 
Bw03_Roid_Miner_1: 4D (2.3, 2.9) (-1266, -8202) Roid_Miner 
Bw03_Roid_Miner_2: 4E (2.4, 1.1) (1186, -7120) Roid_Miner 
Bw03_Roid_Miner_3: 4E (2.5, 1.1) (1179, -5779) Roid_Miner 
Bw03_Roid_Miner2_1: 3F (3.0, 1.0) (24054, -24071) Roid_Miner 
Bw03_Roid_Miner3_1: 3D (2.3, 1.4) (-19554, -32071) Roid_Miner 
Bw03_Roid_Miner3_2: 3D (2.3, 1.8) (-14554, -32071) Roid_Miner 
Bw03_Roid_Miner3_3: 3D (2.7, 1.6) (-16554, -27071) Roid_Miner 
Bw03_Roid_Miner_5: 3F (2.5, 1.5) (29509, -30534) Roid_Miner 
Bw03_Roid_Miner2_2: 6E (1.9, 1.5) (6022, 35167) Roid_Miner 
Bw03_Roid_Miner_6: 5E (2.7, 2.6) (19467, 20254) Roid_Miner 
Bw03_Roid_Miner_7: 5E (2.5, 2.5) (18233, 17697) Roid_Miner 
Bw03_Roid_Miner_8: 6E (2.1, 1.9) (10959, 37606) Roid_Miner 
Bw03_ast_lava02_largeA_1: 5D (1.7, 2.7) (-3859, 8456) ast_lava02_largeA 
Bw03_ast_lava02_largeB_1: 5D (2.0, 2.8) (-2014, 12214) ast_lava02_largeB 
Bw03_ast_lava02_largeB_2: 5D (2.1, 2.2) (-9019, 12897) ast_lava02_largeB 
Bw03_ast_mineable_largeA_1: 4E (2.6, 1.3) (3812, -4254) ast_mineable_largeA 
Bw03_ast_mineable_largeB_1: 4E (2.4, 2.0) (11745, -7292) ast_mineable_largeB 
Bw03_ast_mineable_largeA_2: 4E (2.3, 1.9) (11166, -8214) ast_mineable_largeA 
Bw03_ast_mineable_largeB_2: 4E (2.5, 1.6) (7347, -6381) ast_mineable_largeB 
Bw03_ast_mineable_largeB_3: 5F (1.8, 1.1) (24964, 10126) ast_mineable_largeB 
Bw03_ast_mineable_largeA_3: 5E (2.2, 2.7) (20004, 13980) ast_mineable_largeA 
Bw03_ast_solar_mineable2_60_1: 4D (2.3, 2.9) (-1261, -8361) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_2: 4D (2.3, 3.0) (-94, -8156) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_3: 4E (2.4, 1.1) (1336, -7158) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_4: 4E (2.5, 1.1) (1322, -5732) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_5: 4E (1.6, 1.7) (8368, -16527) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_6: 5E (1.6, 2.5) (18163, 7563) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_7: 5E (1.6, 2.7) (20010, 7459) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_8: 5E (1.9, 2.6) (19416, 10389) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_9: 3F (2.5, 1.4) (29349, -30534) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_10: 6E (1.9, 1.5) (6182, 35167) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_11: 3D (2.8, 1.6) (-16554, -26911) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_12: 3D (2.3, 1.8) (-14394, -32071) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_13: 3E (3.0, 3.0) (23894, -24071) ast_solar_mineable2_60 
Bw03_ast_solar_mineable2_60_14: 6E (2.1, 1.9) (10959, 37446) ast_solar_mineable2_60 
